City,Total_Death,Under 1 Year,1 to under 15 years,15 to under 25 years,25 to under 30 years,30 to under 35 years,35 to under 40 years,40 to under 45 years,45 to under 50 years,50 to under 55 years,55 to under 60 years,60 to under 65 years,65 to under 70 years,70 to under 75 years,75 to under 80 years,80 to under 85 years,85 year and Above ,Year
"Heinsberg, Kreis",2936.0,8.0,4.0,13.0,6.0,10.0,10.0,11.0,34.0,57.0,131.0,162.0,204.0,221.0,447.0,557.0,1061.0,2017
Oberbergischer Kreis,3231.0,7.0,1.0,5.0,10.0,7.0,14.0,10.0,37.0,73.0,125.0,168.0,209.0,248.0,471.0,586.0,1260.0,2017
Rheinisch-Bergischer Kreis,3263.0,12.0,5.0,2.0,3.0,4.0,7.0,18.0,38.0,60.0,118.0,151.0,197.0,251.0,485.0,590.0,1322.0,2017
Rhein-Sieg-Kreis,6324.0,16.0,5.0,18.0,15.0,22.0,13.0,37.0,77.0,137.0,218.0,303.0,444.0,531.0,906.0,1105.0,2477.0,2017
"Bottrop, kreisfreie Stadt",1563.0,0.0,1.0,1.0,3.0,3.0,8.0,7.0,17.0,41.0,72.0,75.0,141.0,138.0,208.0,273.0,575.0,2017
"Gelsenkirchen, kreisfreie Stadt",3465.0,12.0,5.0,4.0,5.0,5.0,18.0,27.0,65.0,88.0,176.0,236.0,252.0,307.0,470.0,585.0,1210.0,2017
"Münster, kreisfreie Stadt",2668.0,7.0,2.0,10.0,7.0,11.0,16.0,15.0,36.0,62.0,108.0,126.0,150.0,190.0,349.0,416.0,1163.0,2017
"Borken, Kreis",3714.0,13.0,9.0,13.0,9.0,10.0,13.0,15.0,35.0,97.0,108.0,194.0,229.0,302.0,567.0,744.0,1356.0,2017
"Coesfeld, Kreis",2282.0,2.0,1.0,7.0,2.0,4.0,6.0,12.0,31.0,51.0,81.0,128.0,146.0,156.0,321.0,420.0,914.0,2017
"Recklinghausen, Kreis",7886.0,19.0,10.0,15.0,9.0,21.0,31.0,42.0,98.0,203.0,331.0,420.0,574.0,714.0,1126.0,1410.0,2863.0,2017
"Steinfurt, Kreis",4628.0,19.0,5.0,20.0,6.0,15.0,10.0,31.0,65.0,105.0,186.0,223.0,345.0,335.0,674.0,851.0,1738.0,2017
"Warendorf, Kreis",2997.0,6.0,7.0,10.0,6.0,7.0,12.0,23.0,34.0,60.0,105.0,172.0,193.0,199.0,408.0,525.0,1230.0,2017
"Bielefeld, kreisfreie Stadt",3623.0,12.0,3.0,8.0,11.0,10.0,18.0,22.0,48.0,60.0,120.0,199.0,229.0,272.0,502.0,617.0,1492.0,2017
"Gütersloh, Kreis",3713.0,10.0,8.0,13.0,10.0,8.0,17.0,24.0,57.0,79.0,150.0,167.0,217.0,271.0,596.0,671.0,1415.0,2017
"Herford, Kreis",2995.0,10.0,4.0,6.0,6.0,8.0,10.0,14.0,35.0,68.0,116.0,133.0,210.0,216.0,434.0,495.0,1230.0,2017
"Höxter, Kreis",1749.0,3.0,5.0,4.0,2.0,6.0,5.0,7.0,18.0,28.0,78.0,74.0,116.0,109.0,257.0,285.0,752.0,2017
"Lippe, Kreis",4295.0,17.0,10.0,6.0,5.0,9.0,19.0,21.0,65.0,108.0,141.0,209.0,288.0,306.0,588.0,691.0,1812.0,2017
"Minden-Lübbecke, Kreis",3758.0,5.0,5.0,10.0,3.0,14.0,27.0,20.0,46.0,87.0,134.0,195.0,232.0,303.0,551.0,588.0,1538.0,2017
"Paderborn, Kreis",2774.0,11.0,2.0,10.0,3.0,14.0,15.0,23.0,45.0,63.0,111.0,149.0,166.0,200.0,394.0,490.0,1078.0,2017
"Bochum, kreisfreie Stadt",4526.0,11.0,4.0,10.0,10.0,8.0,24.0,31.0,52.0,110.0,178.0,272.0,306.0,377.0,656.0,800.0,1677.0,2017
"Dortmund, kreisfreie Stadt",7040.0,15.0,4.0,17.0,18.0,16.0,35.0,53.0,98.0,197.0,301.0,406.0,514.0,605.0,1076.0,1204.0,2481.0,2017
"Hagen, kreisfreie Stadt",2511.0,12.0,3.0,5.0,8.0,6.0,10.0,15.0,34.0,61.0,124.0,144.0,158.0,213.0,394.0,445.0,879.0,2017
"Hamm, kreisfreie Stadt",2036.0,8.0,4.0,5.0,3.0,5.0,6.0,12.0,26.0,49.0,94.0,120.0,161.0,150.0,282.0,364.0,747.0,2017
"Herne, kreisfreie Stadt",2169.0,10.0,3.0,6.0,3.0,7.0,5.0,20.0,24.0,67.0,112.0,126.0,172.0,179.0,308.0,345.0,782.0,2017
Ennepe-Ruhr-Kreis,4235.0,13.0,4.0,4.0,3.0,7.0,12.0,18.0,57.0,121.0,129.0,237.0,262.0,348.0,619.0,817.0,1584.0,2017
Hochsauerlandkreis,3304.0,10.0,5.0,8.0,2.0,10.0,11.0,23.0,31.0,77.0,103.0,177.0,187.0,233.0,506.0,640.0,1281.0,2017
Märkischer Kreis,5166.0,19.0,5.0,7.0,4.0,11.0,19.0,29.0,75.0,143.0,210.0,266.0,334.0,434.0,822.0,972.0,1816.0,2017
"Olpe, Kreis",1470.0,4.0,0.0,3.0,1.0,2.0,7.0,9.0,13.0,36.0,58.0,68.0,81.0,127.0,241.0,266.0,554.0,2017
"Siegen-Wittgenstein, Kreis",3256.0,11.0,5.0,7.0,11.0,4.0,6.0,24.0,34.0,77.0,121.0,180.0,222.0,240.0,492.0,606.0,1216.0,2017
"Soest, Kreis",3578.0,11.0,5.0,11.0,5.0,8.0,14.0,18.0,42.0,91.0,128.0,180.0,254.0,274.0,513.0,657.0,1367.0,2017
"Unna, Kreis",4890.0,7.0,6.0,11.0,6.0,12.0,9.0,30.0,67.0,118.0,187.0,272.0,319.0,428.0,750.0,881.0,1787.0,2017
"Darmstadt, kreisfreie Stadt",1414.0,11.0,0.0,4.0,4.0,6.0,5.0,7.0,20.0,31.0,57.0,65.0,90.0,115.0,179.0,237.0,583.0,2017
"Frankfurt am Main, kreisfreie Stadt",5988.0,28.0,13.0,14.0,16.0,26.0,36.0,52.0,87.0,190.0,218.0,333.0,459.0,584.0,898.0,929.0,2105.0,2017
"Offenbach am Main, kreisfreie Stadt",1109.0,5.0,0.0,4.0,3.0,3.0,4.0,10.0,28.0,38.0,43.0,55.0,74.0,99.0,160.0,190.0,393.0,2017
"Wiesbaden, Landeshauptstadt, kreisfreie Stadt",2873.0,7.0,6.0,9.0,5.0,4.0,6.0,17.0,44.0,70.0,114.0,147.0,208.0,265.0,379.0,465.0,1127.0,2017
"Bergstraße, Landkreis",3133.0,7.0,2.0,6.0,9.0,6.0,12.0,21.0,30.0,52.0,129.0,131.0,192.0,244.0,484.0,585.0,1223.0,2017
"Darmstadt-Dieburg, Landkreis",3111.0,11.0,5.0,11.0,2.0,9.0,8.0,14.0,35.0,72.0,109.0,159.0,200.0,273.0,430.0,569.0,1204.0,2017
"Groß-Gerau, Landkreis",2519.0,7.0,3.0,8.0,9.0,5.0,12.0,20.0,33.0,69.0,112.0,115.0,161.0,227.0,393.0,465.0,880.0,2017
Hochtaunuskreis,2449.0,5.0,3.0,2.0,4.0,9.0,8.0,9.0,27.0,54.0,52.0,105.0,134.0,202.0,347.0,394.0,1094.0,2017
Main-Kinzig-Kreis,4365.0,7.0,7.0,4.0,4.0,10.0,18.0,18.0,39.0,103.0,167.0,194.0,295.0,379.0,667.0,777.0,1676.0,2017
Main-Taunus-Kreis,2222.0,13.0,2.0,5.0,1.0,7.0,10.0,13.0,36.0,50.0,61.0,95.0,144.0,181.0,328.0,395.0,881.0,2017
Odenwaldkreis,1258.0,5.0,2.0,2.0,0.0,1.0,4.0,6.0,10.0,27.0,42.0,60.0,88.0,85.0,170.0,222.0,534.0,2017
"Offenbach, Landkreis",3568.0,5.0,3.0,3.0,4.0,9.0,11.0,22.0,45.0,90.0,143.0,170.0,234.0,317.0,510.0,628.0,1374.0,2017
Rheingau-Taunus-Kreis,1954.0,2.0,2.0,7.0,3.0,7.0,4.0,9.0,19.0,42.0,59.0,85.0,142.0,170.0,307.0,371.0,725.0,2017
Wetteraukreis,3401.0,7.0,3.0,9.0,7.0,12.0,10.0,25.0,49.0,88.0,130.0,184.0,232.0,257.0,511.0,544.0,1333.0,2017
"Gießen, Landkreis",2738.0,5.0,5.0,6.0,7.0,11.0,20.0,19.0,34.0,84.0,106.0,137.0,196.0,193.0,350.0,501.0,1064.0,2017
Lahn-Dill-Kreis,3126.0,10.0,4.0,5.0,6.0,7.0,16.0,19.0,43.0,78.0,106.0,177.0,220.0,259.0,415.0,585.0,1176.0,2017
"Limburg-Weilburg, Landkreis",2054.0,5.0,2.0,5.0,4.0,5.0,9.0,12.0,29.0,57.0,84.0,99.0,133.0,180.0,290.0,362.0,778.0,2017
"Marburg-Biedenkopf, Landkreis",2694.0,6.0,4.0,8.0,6.0,5.0,6.0,11.0,32.0,40.0,103.0,132.0,182.0,220.0,391.0,512.0,1036.0,2017
Vogelsbergkreis,1437.0,4.0,1.0,6.0,3.0,3.0,7.0,14.0,18.0,27.0,58.0,68.0,89.0,91.0,184.0,271.0,593.0,2017
"Kassel, kreisfreie Stadt",2130.0,7.0,2.0,2.0,2.0,5.0,19.0,13.0,35.0,49.0,80.0,125.0,145.0,198.0,263.0,331.0,854.0,2017
"Fulda, Landkreis",2318.0,9.0,4.0,9.0,3.0,6.0,12.0,11.0,24.0,44.0,72.0,107.0,136.0,150.0,311.0,397.0,1023.0,2017
"Hersfeld-Rotenburg, Landkreis",1551.0,3.0,1.0,3.0,2.0,8.0,5.0,6.0,15.0,31.0,60.0,68.0,88.0,99.0,229.0,276.0,657.0,2017
"Kassel, Landkreis",3070.0,4.0,1.0,7.0,6.0,6.0,14.0,14.0,24.0,64.0,100.0,110.0,193.0,253.0,473.0,543.0,1258.0,2017
Schwalm-Eder-Kreis,2320.0,7.0,1.0,9.0,4.0,8.0,7.0,9.0,26.0,55.0,75.0,130.0,152.0,159.0,330.0,446.0,902.0,2017
"Waldeck-Frankenberg, Landkreis",2060.0,2.0,0.0,8.0,7.0,6.0,6.0,13.0,23.0,41.0,81.0,97.0,127.0,154.0,280.0,370.0,845.0,2017
Werra-Meißner-Kreis,1475.0,1.0,0.0,5.0,3.0,1.0,1.0,4.0,18.0,32.0,57.0,66.0,102.0,114.0,196.0,276.0,599.0,2017
"Koblenz, kreisfreie Stadt",1312.0,3.0,2.0,4.0,3.0,6.0,7.0,8.0,18.0,28.0,35.0,59.0,70.0,90.0,192.0,226.0,561.0,2017
"Ahrweiler, Landkreis",1680.0,4.0,1.0,5.0,3.0,2.0,8.0,10.0,16.0,42.0,58.0,90.0,96.0,119.0,253.0,299.0,674.0,2017
"Altenkirchen (Westerwald), Landkreis",1598.0,4.0,1.0,8.0,6.0,5.0,9.0,10.0,26.0,37.0,59.0,94.0,123.0,110.0,228.0,297.0,581.0,2017
"Bad Kreuznach, Landkreis",1951.0,3.0,2.0,5.0,3.0,1.0,9.0,12.0,17.0,48.0,75.0,115.0,145.0,139.0,279.0,335.0,763.0,2017
"Birkenfeld, Landkreis",1172.0,1.0,0.0,5.0,1.0,3.0,5.0,4.0,13.0,30.0,47.0,64.0,93.0,70.0,169.0,216.0,451.0,2017
"Cochem-Zell, Landkreis",855.0,1.0,2.0,3.0,2.0,4.0,2.0,3.0,8.0,15.0,29.0,28.0,62.0,65.0,123.0,152.0,356.0,2017
"Mayen-Koblenz, Landkreis",2455.0,6.0,4.0,9.0,6.0,12.0,9.0,14.0,27.0,60.0,111.0,130.0,184.0,186.0,340.0,435.0,922.0,2017
"Neuwied, Landkreis",2234.0,5.0,1.0,6.0,4.0,1.0,5.0,15.0,24.0,49.0,83.0,121.0,130.0,153.0,335.0,401.0,901.0,2017
Rhein-Hunsrück-Kreis,1311.0,5.0,2.0,3.0,1.0,4.0,5.0,8.0,6.0,29.0,39.0,62.0,96.0,91.0,191.0,215.0,554.0,2017
Rhein-Lahn-Kreis,1562.0,5.0,0.0,3.0,2.0,1.0,4.0,16.0,21.0,43.0,42.0,73.0,120.0,125.0,215.0,283.0,609.0,2017
Westerwaldkreis,2347.0,5.0,1.0,4.0,5.0,6.0,7.0,13.0,27.0,51.0,90.0,116.0,163.0,179.0,349.0,389.0,942.0,2017
"Trier, kreisfreie Stadt",1146.0,7.0,1.0,5.0,1.0,5.0,6.0,6.0,12.0,20.0,54.0,62.0,90.0,93.0,145.0,192.0,447.0,2017
"Bernkastel-Wittlich, Landkreis",1360.0,5.0,2.0,5.0,0.0,3.0,11.0,7.0,19.0,31.0,47.0,71.0,90.0,98.0,180.0,212.0,579.0,2017
Eifelkreis Bitburg-Prüm,1116.0,1.0,2.0,4.0,2.0,1.0,2.0,5.0,10.0,34.0,54.0,63.0,77.0,63.0,145.0,171.0,482.0,2017
"Vulkaneifel, Landkreis",801.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,6.0,13.0,30.0,34.0,48.0,59.0,114.0,148.0,340.0,2017
"Trier-Saarburg, Landkreis",1552.0,5.0,3.0,2.0,2.0,2.0,4.0,12.0,17.0,31.0,57.0,100.0,102.0,120.0,201.0,273.0,621.0,2017
"Frankenthal (Pfalz), kreisfreie Stadt",586.0,0.0,0.0,0.0,1.0,4.0,4.0,5.0,7.0,13.0,22.0,25.0,36.0,46.0,93.0,103.0,227.0,2017
"Kaiserslautern, kreisfreie Stadt",1181.0,1.0,0.0,4.0,4.0,2.0,11.0,4.0,12.0,22.0,52.0,66.0,69.0,99.0,157.0,191.0,487.0,2017
"Landau in der Pfalz, kreisfreie Stadt",503.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,7.0,8.0,24.0,15.0,35.0,43.0,76.0,73.0,210.0,2017
"Ludwigshafen am Rhein, kreisfreie Stadt",1887.0,9.0,1.0,5.0,3.0,5.0,4.0,17.0,33.0,54.0,77.0,103.0,147.0,160.0,274.0,305.0,690.0,2017
"Mainz, kreisfreie Stadt",1937.0,7.0,1.0,5.0,8.0,12.0,9.0,11.0,14.0,53.0,67.0,87.0,117.0,174.0,251.0,332.0,789.0,2017
"Neustadt an der Weinstraße, kreisfreie Stadt",667.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,4.0,14.0,23.0,42.0,39.0,47.0,82.0,102.0,305.0,2017
"Pirmasens, kreisfreie Stadt",676.0,3.0,0.0,2.0,2.0,2.0,3.0,3.0,5.0,13.0,28.0,35.0,52.0,31.0,96.0,131.0,270.0,2017
"Speyer, kreisfreie Stadt",665.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,7.0,14.0,18.0,28.0,59.0,58.0,105.0,113.0,251.0,2017
"Worms, kreisfreie Stadt",957.0,6.0,0.0,3.0,2.0,5.0,7.0,6.0,17.0,18.0,38.0,53.0,74.0,73.0,121.0,164.0,370.0,2017
"Zweibrücken, kreisfreie Stadt",449.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,4.0,9.0,14.0,28.0,27.0,34.0,61.0,77.0,187.0,2017
"Alzey-Worms, Landkreis",1396.0,4.0,3.0,5.0,5.0,5.0,7.0,7.0,16.0,39.0,51.0,83.0,108.0,118.0,199.0,253.0,493.0,2017
"Bad Dürkheim, Landkreis",1626.0,5.0,3.0,4.0,0.0,0.0,5.0,8.0,21.0,31.0,53.0,76.0,144.0,140.0,235.0,301.0,600.0,2017
Donnersbergkreis,879.0,1.0,1.0,2.0,1.0,0.0,3.0,5.0,11.0,27.0,35.0,50.0,56.0,54.0,123.0,143.0,367.0,2017
"Germersheim, Landkreis",1230.0,2.0,1.0,3.0,2.0,3.0,8.0,7.0,16.0,27.0,44.0,77.0,84.0,93.0,184.0,230.0,449.0,2017
"Kaiserslautern, Landkreis",1213.0,1.0,3.0,2.0,4.0,3.0,3.0,7.0,7.0,22.0,42.0,72.0,95.0,105.0,161.0,231.0,455.0,2017
"Kusel, Landkreis",907.0,2.0,2.0,2.0,1.0,4.0,7.0,4.0,18.0,23.0,31.0,45.0,71.0,64.0,114.0,164.0,355.0,2017
"Südliche Weinstraße, Landkreis",1259.0,2.0,2.0,3.0,1.0,3.0,3.0,9.0,17.0,33.0,39.0,51.0,82.0,97.0,213.0,223.0,481.0,2017
Rhein-Pfalz-Kreis,1685.0,6.0,1.0,7.0,3.0,3.0,6.0,2.0,15.0,44.0,53.0,62.0,108.0,145.0,255.0,328.0,647.0,2017
"Mainz-Bingen, Landkreis",2011.0,18.0,4.0,5.0,7.0,10.0,7.0,9.0,21.0,45.0,68.0,99.0,139.0,155.0,256.0,396.0,772.0,2017
"Südwestpfalz, Landkreis",1219.0,1.0,2.0,6.0,4.0,1.0,3.0,2.0,10.0,25.0,52.0,51.0,87.0,79.0,184.0,232.0,480.0,2017
"Stuttgart, Landeshauptstadt, Stadtkreis",5419.0,16.0,9.0,11.0,10.0,10.0,21.0,34.0,70.0,133.0,195.0,240.0,346.0,455.0,764.0,908.0,2197.0,2017
"Böblingen, Landkreis",3511.0,10.0,3.0,12.0,9.0,2.0,20.0,27.0,33.0,60.0,112.0,164.0,186.0,297.0,497.0,675.0,1404.0,2017
"Esslingen, Landkreis",5072.0,13.0,6.0,15.0,17.0,16.0,16.0,32.0,61.0,103.0,141.0,217.0,289.0,420.0,771.0,924.0,2031.0,2017
"Göppingen, Landkreis",2713.0,6.0,4.0,7.0,6.0,5.0,7.0,17.0,25.0,57.0,94.0,122.0,145.0,210.0,374.0,514.0,1120.0,2017
"Ludwigsburg, Landkreis",5011.0,24.0,9.0,16.0,7.0,18.0,19.0,20.0,66.0,103.0,143.0,227.0,312.0,431.0,759.0,931.0,1926.0,2017
"Rems-Murr-Kreis, Landkreis",4304.0,9.0,4.0,11.0,9.0,17.0,14.0,28.0,52.0,111.0,143.0,195.0,283.0,341.0,660.0,763.0,1664.0,2017
"Heilbronn, Universitätsstadt, Stadtkreis",1356.0,2.0,2.0,4.0,8.0,5.0,6.0,10.0,13.0,25.0,45.0,50.0,82.0,103.0,200.0,232.0,569.0,2017
"Heilbronn, Landkreis",3218.0,12.0,4.0,9.0,5.0,9.0,11.0,18.0,42.0,94.0,119.0,149.0,177.0,256.0,470.0,594.0,1249.0,2017
"Hohenlohekreis, Landkreis",1147.0,5.0,1.0,4.0,2.0,5.0,9.0,8.0,11.0,25.0,44.0,53.0,68.0,83.0,144.0,216.0,469.0,2017
"Schwäbisch Hall, Landkreis",1865.0,10.0,1.0,10.0,4.0,11.0,8.0,13.0,23.0,46.0,77.0,90.0,126.0,124.0,259.0,317.0,746.0,2017
"Main-Tauber-Kreis, Landkreis",1551.0,8.0,1.0,3.0,4.0,3.0,6.0,13.0,16.0,21.0,43.0,66.0,83.0,116.0,205.0,288.0,675.0,2017
"Heidenheim, Landkreis",1498.0,2.0,1.0,3.0,3.0,2.0,4.0,5.0,25.0,33.0,49.0,56.0,86.0,85.0,211.0,271.0,662.0,2017
"Ostalbkreis, Landkreis",3223.0,12.0,5.0,11.0,6.0,8.0,10.0,24.0,31.0,78.0,114.0,147.0,195.0,250.0,478.0,575.0,1279.0,2017
"Baden-Baden, Stadtkreis",759.0,2.0,0.0,3.0,1.0,1.0,4.0,3.0,12.0,6.0,31.0,35.0,43.0,53.0,110.0,111.0,344.0,2017
"Karlsruhe, Stadtkreis",3022.0,3.0,4.0,13.0,9.0,10.0,10.0,23.0,39.0,68.0,103.0,139.0,194.0,236.0,425.0,535.0,1211.0,2017
"Karlsruhe, Landkreis",4664.0,17.0,5.0,5.0,7.0,6.0,22.0,22.0,52.0,113.0,151.0,228.0,300.0,351.0,685.0,785.0,1915.0,2017
"Rastatt, Landkreis",2461.0,6.0,4.0,10.0,3.0,11.0,11.0,12.0,23.0,68.0,71.0,128.0,190.0,182.0,344.0,441.0,957.0,2017
"Heidelberg, Stadtkreis",1198.0,3.0,4.0,9.0,8.0,4.0,5.0,10.0,10.0,24.0,38.0,69.0,73.0,96.0,174.0,202.0,469.0,2017
"Mannheim, Stadtkreis",3222.0,18.0,3.0,10.0,12.0,14.0,18.0,16.0,46.0,81.0,147.0,168.0,207.0,274.0,463.0,527.0,1218.0,2017
"Neckar-Odenwald-Kreis, Landkreis",1737.0,5.0,1.0,6.0,2.0,6.0,12.0,12.0,22.0,33.0,65.0,88.0,112.0,145.0,261.0,274.0,693.0,2017
"Rhein-Neckar-Kreis, Landkreis",5655.0,9.0,6.0,21.0,10.0,16.0,28.0,33.0,68.0,122.0,197.0,246.0,396.0,461.0,844.0,976.0,2222.0,2017
"Pforzheim, Stadtkreis",1488.0,3.0,2.0,2.0,4.0,3.0,2.0,8.0,22.0,38.0,44.0,64.0,101.0,102.0,209.0,279.0,605.0,2017
"Calw, Landkreis",1628.0,4.0,4.0,5.0,7.0,8.0,7.0,7.0,27.0,43.0,69.0,63.0,117.0,108.0,223.0,263.0,673.0,2017
"Enzkreis, Landkreis",1905.0,12.0,2.0,1.0,4.0,2.0,7.0,12.0,20.0,28.0,44.0,81.0,126.0,158.0,286.0,323.0,799.0,2017
"Freudenstadt, Landkreis",1246.0,2.0,1.0,7.0,3.0,3.0,2.0,3.0,7.0,28.0,47.0,51.0,76.0,86.0,196.0,253.0,481.0,2017
"Freiburg im Breisgau, Stadtkreis",1847.0,7.0,4.0,9.0,8.0,11.0,12.0,9.0,29.0,44.0,58.0,84.0,106.0,144.0,230.0,297.0,795.0,2017
"Breisgau-Hochschwarzwald, Landkreis",2456.0,6.0,4.0,7.0,2.0,8.0,8.0,8.0,26.0,50.0,90.0,129.0,166.0,180.0,365.0,398.0,1009.0,2017
"Emmendingen, Landkreis",1608.0,3.0,2.0,3.0,4.0,3.0,5.0,7.0,20.0,38.0,52.0,82.0,97.0,123.0,229.0,294.0,646.0,2017
"Ortenaukreis, Landkreis",4407.0,22.0,3.0,10.0,6.0,17.0,16.0,32.0,40.0,102.0,146.0,198.0,283.0,290.0,595.0,747.0,1900.0,2017
"Rottweil, Landkreis",1466.0,4.0,2.0,3.0,6.0,6.0,5.0,8.0,26.0,40.0,53.0,54.0,88.0,102.0,230.0,251.0,588.0,2017
"Schwarzwald-Baar-Kreis, Landkreis",2461.0,7.0,2.0,6.0,8.0,5.0,6.0,10.0,22.0,66.0,79.0,107.0,126.0,179.0,320.0,497.0,1021.0,2017
"Tuttlingen, Landkreis",1396.0,7.0,1.0,3.0,5.0,4.0,3.0,6.0,21.0,37.0,49.0,63.0,93.0,99.0,199.0,252.0,554.0,2017
"Konstanz, Landkreis",2823.0,6.0,1.0,9.0,1.0,10.0,11.0,13.0,38.0,58.0,106.0,128.0,164.0,217.0,420.0,486.0,1155.0,2017
"Lörrach, Landkreis",2412.0,7.0,2.0,7.0,2.0,8.0,9.0,10.0,35.0,55.0,78.0,111.0,163.0,191.0,329.0,435.0,970.0,2017
"Waldshut, Landkreis",1754.0,11.0,1.0,6.0,4.0,3.0,5.0,12.0,24.0,49.0,44.0,98.0,131.0,118.0,245.0,300.0,703.0,2017
"Reutlingen, Landkreis",2836.0,11.0,4.0,14.0,4.0,8.0,11.0,17.0,37.0,61.0,108.0,149.0,160.0,192.0,410.0,528.0,1122.0,2017
"Tübingen, Landkreis",1767.0,15.0,2.0,8.0,3.0,4.0,9.0,6.0,30.0,43.0,65.0,71.0,101.0,145.0,264.0,292.0,709.0,2017
"Zollernalbkreis, Landkreis",2075.0,3.0,2.0,4.0,6.0,6.0,8.0,13.0,15.0,42.0,60.0,92.0,127.0,155.0,296.0,351.0,895.0,2017
"Ulm, Stadtkreis",1099.0,1.0,2.0,3.0,0.0,4.0,2.0,5.0,13.0,24.0,40.0,56.0,52.0,75.0,147.0,185.0,490.0,2017
"Alb-Donau-Kreis, Landkreis",1875.0,10.0,8.0,6.0,6.0,11.0,6.0,11.0,30.0,48.0,50.0,78.0,119.0,133.0,254.0,337.0,768.0,2017
"Biberach, Landkreis",1841.0,9.0,2.0,7.0,8.0,12.0,10.0,11.0,28.0,39.0,61.0,92.0,98.0,143.0,233.0,329.0,759.0,2017
"Bodenseekreis, Landkreis",2142.0,6.0,1.0,12.0,7.0,6.0,8.0,13.0,22.0,43.0,51.0,86.0,135.0,191.0,328.0,377.0,856.0,2017
"Ravensburg, Landkreis",2637.0,9.0,3.0,11.0,6.0,8.0,14.0,15.0,32.0,55.0,85.0,120.0,178.0,192.0,412.0,437.0,1060.0,2017
"Sigmaringen, Landkreis",1345.0,5.0,0.0,8.0,3.0,5.0,7.0,9.0,16.0,29.0,44.0,68.0,90.0,86.0,193.0,242.0,540.0,2017
Ingolstadt,1252.0,6.0,0.0,1.0,1.0,3.0,6.0,6.0,19.0,38.0,38.0,60.0,72.0,87.0,188.0,229.0,498.0,2017
"München, Landeshauptstadt",11343.0,39.0,16.0,35.0,40.0,37.0,59.0,93.0,153.0,274.0,411.0,522.0,723.0,1108.0,1685.0,1783.0,4365.0,2017
Rosenheim,625.0,2.0,1.0,1.0,0.0,1.0,3.0,4.0,9.0,16.0,22.0,26.0,52.0,72.0,108.0,96.0,212.0,2017
"Altötting, Landkreis",1232.0,3.0,3.0,2.0,1.0,5.0,10.0,5.0,16.0,34.0,44.0,68.0,79.0,110.0,185.0,198.0,469.0,2017
"Berchtesgadener Land, Landkreis",1160.0,0.0,3.0,3.0,2.0,1.0,8.0,2.0,9.0,26.0,44.0,46.0,68.0,89.0,165.0,185.0,509.0,2017
"Bad Tölz-Wolfratshausen, Landkreis",1221.0,2.0,0.0,4.0,4.0,3.0,1.0,9.0,15.0,27.0,43.0,49.0,69.0,96.0,195.0,228.0,476.0,2017
"Dachau, Landkreis",1355.0,1.0,3.0,6.0,4.0,3.0,6.0,9.0,21.0,36.0,45.0,61.0,81.0,108.0,216.0,227.0,528.0,2017
"Ebersberg, Landkreis",1185.0,2.0,1.0,5.0,1.0,4.0,2.0,10.0,8.0,33.0,34.0,54.0,58.0,92.0,174.0,199.0,508.0,2017
"Eichstätt, Landkreis",1102.0,6.0,0.0,5.0,1.0,3.0,3.0,10.0,18.0,20.0,37.0,46.0,66.0,76.0,151.0,223.0,437.0,2017
"Erding, Landkreis",1109.0,10.0,1.0,4.0,4.0,4.0,4.0,14.0,20.0,34.0,52.0,50.0,78.0,90.0,147.0,190.0,407.0,2017
"Freising, Landkreis",1412.0,7.0,3.0,7.0,5.0,9.0,7.0,5.0,14.0,49.0,57.0,65.0,81.0,128.0,187.0,251.0,537.0,2017
"Fürstenfeldbruck, Landkreis",2078.0,6.0,1.0,9.0,4.0,8.0,13.0,9.0,12.0,36.0,53.0,82.0,105.0,190.0,334.0,360.0,856.0,2017
"Garmisch-Partenkirchen, Landkreis",1056.0,3.0,0.0,1.0,2.0,3.0,5.0,11.0,11.0,23.0,38.0,42.0,55.0,95.0,152.0,178.0,437.0,2017
"Landsberg am Lech, Landkreis",1039.0,1.0,1.0,5.0,4.0,3.0,8.0,7.0,19.0,29.0,37.0,51.0,64.0,83.0,161.0,163.0,403.0,2017
"Miesbach, Landkreis",1036.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,7.0,16.0,24.0,34.0,65.0,87.0,144.0,190.0,455.0,2017
"Mühldorf a.Inn, Landkreis",1313.0,7.0,0.0,6.0,3.0,2.0,5.0,8.0,17.0,27.0,55.0,60.0,85.0,116.0,187.0,241.0,494.0,2017
"München, Landkreis",3055.0,8.0,6.0,7.0,6.0,6.0,11.0,20.0,30.0,55.0,82.0,128.0,155.0,281.0,478.0,505.0,1277.0,2017
"Neuburg-Schrobenhausen, Landkreis",923.0,4.0,2.0,3.0,1.0,3.0,5.0,5.0,10.0,22.0,22.0,33.0,60.0,67.0,122.0,167.0,397.0,2017
"Pfaffenhofen a.d.Ilm, Landkreis",1179.0,2.0,2.0,5.0,1.0,5.0,3.0,5.0,14.0,31.0,52.0,58.0,78.0,107.0,197.0,200.0,419.0,2017
